lat;lon;signal
5.4377445;-4.0135096;-56.0
5.4377816;-4.0135117;-57.3
5.4378194;-4.0134992;-57.3
5.4378521;-4.0134976;-58.3
5.4378673;-4.0135081;-58.3
5.43788;-4.0135041;-58.3
5.437929;-4.0134951;-58.0
5.4379723;-4.0134975;-57.3
5.4380121;-4.0135039;-56.3
5.4380485;-4.0135027;-56.3
5.438089;-4.0135008;-57.3
5.4381376;-4.0135051;-58.3
5.4381837;-4.0135111;-59.3
5.4382186;-4.0135149;-61.3
5.4382557;-4.0135097;-61.3
5.4376744;-4.0152536;-94.0
5.4376763;-4.0152251;-94.7
5.4376879;-4.0152059;-94.7
5.43778;-4.0151968;-89.7
5.4378087;-4.0151903;-86.3
5.4378216;-4.0152098;-86.0
5.4378205;-4.0152595;-88.0
5.4378012;-4.0152929;-91.7
5.4377637;-4.0152793;-92.0
5.4377284;-4.015273;-93.3
5.4376919;-4.0152683;-94.0
5.4376552;-4.0152635;-94.0
5.4376419;-4.0152581;-95.3
5.4376202;-4.0152562;-94.3
5.4376076;-4.0152207;-93.0
5.4376246;-4.0152505;-95.7
5.43764;-4.0152467;-96.3
5.4376429;-4.0152444;-90.3
5.4376433;-4.0152449;-90.7
5.4376433;-4.015245;-92.0
5.4376433;-4.015245;-92.0
5.4376433;-4.015245;-92.0
5.4376433;-4.015245;-92.0
5.4376331;-4.0152453;-97.3
5.4376446;-4.0152192;-91.3
5.4376516;-4.0151986;-93.0
5.4380608;-4.0141161;-72.3
5.4380511;-4.014158;-77.3
5.4380252;-4.0141818;-75.7
5.4379982;-4.0141779;-75.0
5.4379622;-4.0141682;-76.0
5.4379441;-4.0141492;-76.0
5.4379233;-4.0141758;-75.0
5.4379495;-4.0141777;-76.3
5.4378114;-4.0146132;-96.3
5.4378148;-4.0146083;-95.7
5.4378022;-4.0146114;-95.7
5.4381243;-4.0140914;-70.3
5.4380944;-4.0141034;-68.3
5.4380633;-4.0140707;-72.0
5.4380736;-4.0140701;-72.0
5.4380749;-4.0140715;-72.0
5.438075;-4.0140717;-72.0
5.4379827;-4.0141847;-75.0
5.4378868;-4.0142556;-82.3
5.4376775;-4.0147414;-91.7
5.4376767;-4.0147417;-91.7
5.4376736;-4.0147631;-90.7
5.4376765;-4.0147923;-94.3
5.4377168;-4.0148017;-97.3
5.4377659;-4.0148199;-94.7
5.4377963;-4.0148328;-96.0
5.4377806;-4.0148677;-92.7
5.4377447;-4.0148595;-92.3
5.4377187;-4.0148533;-94.0
5.4376827;-4.0148436;-96.7
5.4376581;-4.0148581;-94.0
5.4376659;-4.0148748;-94.7
5.4377016;-4.0149071;-94.7
5.4377457;-4.014934;-93.7
5.4377932;-4.0149587;-93.0
5.4378092;-4.0149844;-89.0
5.4377908;-4.0150074;-87.7
5.437766;-4.0150379;-89.3
5.4377426;-4.0150632;-91.7
5.4377118;-4.0150651;-94.3
5.437688;-4.0150535;-95.3
5.4376743;-4.0150272;-94.0
5.4376694;-4.0149953;-97.0
5.4376808;-4.0149697;-96.3
5.4376837;-4.0149335;-95.3
5.4377041;-4.0149065;-94.7
5.4377467;-4.0149084;-93.0
5.4377764;-4.0149096;-94.7
5.4377987;-4.0148988;-92.0
5.4377722;-4.0149352;-95.3
5.4377577;-4.0149728;-91.7
5.4377425;-4.0150103;-89.0
5.4377399;-4.0150547;-92.7
5.4377368;-4.0150934;-96.0
5.4377371;-4.01513;-96.3
5.4377504;-4.0151586;-93.0
5.4377903;-4.0151631;-89.7
5.437814;-4.0151306;-89.0
5.4377869;-4.0151198;-93.7
5.4377538;-4.0151149;-95.3
5.4377215;-4.0151072;-94.3
5.4376685;-4.0150794;-97.0
5.4376826;-4.0150124;-95.0
5.4376778;-4.0149473;-94.3
5.4376804;-4.0148927;-96.3
5.4376771;-4.0148594;-97.3
5.4376741;-4.0148376;-97.0
5.4376737;-4.0147854;-91.3
5.4376931;-4.0147333;-94.7
5.4376785;-4.0147026;-97.7
5.4376546;-4.0146679;-97.0
5.4376363;-4.0146302;-94.0
5.4376014;-4.014611;-97.3
5.4375498;-4.0146189;-97.7
5.4375323;-4.0146329;-96.0
5.4375341;-4.0146343;-96.0
5.4375349;-4.0146335;-96.0
5.4375457;-4.0145828;-94.7
5.437556;-4.0145451;-95.7
5.4375587;-4.0145102;-96.3
5.4375594;-4.0144936;-96.3
5.4375832;-4.0145165;-94.3
5.4375956;-4.0145559;-95.0
